youtube_id,top_rank,n_hits,title,duration,deviation,salami_coverage,decision,in_top_5,in_top_10,same_plus_5,same_less_5,overall_score,matching_length,onset_in_youtube,onset_in_salami,hashes,total_hashes
LSt9fp9sxZI,1,1,Guns N' Roses - Estranged (Live),593,-0.9347,0,potential,True,True,True,False,4,379.8,0.5,0.5,4444.0,10289.0
id_0_zGvGNE,0,3,It's Alright (Live In Houston / 1992),187,405.0653,0,reject,True,True,False,False,0,,,,,
dpmAY059TTY,0,2,Guns N' Roses - Estranged (Official Music Video),587,5.0653,0,,True,True,False,False,0,,,,,
RK4-eWGI-0I,0,2,"BLACK SABBATH BILL WARD, ESTRANGED, ACCUSES GEEZER OF LYING ABOUT OFFER",55,537.0653,0,,True,True,False,False,0,,,,,
2ghel-NM5fw,2,2,Black Sabbath - Weels Of Confusion HD (Legendado),481,111.0653,0,,True,True,False,False,0,,,,,
4XQQhJC5MiY,4,2,Black Sabbath Paranoid Guitar Cover HQ,40,552.0653,0,,True,True,False,False,0,,,,,
RXg2yY9IRIA,6,2,Guns N' Roses - Estranged - Indiana '91,600,-7.9347,0,,False,True,False,False,0,,,,,
L86nSxxG7ds,6,2,Guns N' Roses - Estranged (Live In Chicago 1992),545,47.0653,0,,False,True,False,False,0,,,,,
cHTcH0Q9hMY,14,2,guns n roses Estranged - Oklahoma 92,565,27.0653,0,,False,False,False,False,0,,,,,
Ozq9Pmh1BZ8,0,1,Estranged (Live),592,0.0653,0,,True,True,False,True,0,,,,,
8VgRL8Htv7k,1,1,Estranged,564,28.0653,0,,True,True,False,False,0,,,,,
kbHQjwyrbZQ,1,1,Bill Ward Slams Black Sabbath Camp for His Absence on Final Shows,65,527.0653,0,,True,True,False,False,0,,,,,
BxpMsRlzLYo,2,1,Guns N' Roses - Estranged Live In Tokyo 1992 HD,634,-41.9347,0,,True,True,False,False,0,,,,,
dn2_3JMUj84,2,1,"BLACK SABBATH, BILL WARD STILL ESTRANGED FOR UPCOMING GIGS",162,430.0653,0,,True,True,False,False,0,,,,,
PUKXVPHGubc,2,1,"Guns N' Roses - ""Estranged"" (En vivo - Audio remasterizado)",527,65.0653,0,,True,True,False,False,0,,,,,
fvSZ0tqWU1s,3,1,Estranged with lyrics - Guns n' Roses,569,23.0653,0,,True,True,False,False,0,,,,,
cwN_1q3jcNg,3,1,BILL WARD - Black Sabbath News,35,557.0653,0,,True,True,False,False,0,,,,,
A1FYdgMZBGc,3,1,Fairies wear boot's Perth Arena 15-04-16,261,331.0653,0,,True,True,False,False,0,,,,,
cxjBYjrNaq4,3,1,Guns N' Roses   Estranged   DVD Live Era Legendado,555,37.0653,0,,True,True,False,False,0,,,,,
N-HDp8N3RJ0,4,1,"Guns N' Roses - Estranged (Download Festival 2018, Donington Park, Castle Donington 9th June 2018)",531,61.0653,0,,True,True,False,False,0,,,,,
Dd8EWuLj2NQ,4,1,"Black Sabbath's Bill Ward on drugs, alcohol, depression & music 2/2",570,22.0653,0,,True,True,False,False,0,,,,,
4au2xjz0FFc,4,1,Estranged - Guns N´ Roses (Live at Tokyo ´92) Subtitulado al español por mí.,625,-32.9347,0,,True,True,False,False,0,,,,,
q-lj8_aD58w,5,1,Guns and Roses   Estranged  Lyric,585,7.0653,0,,False,True,False,False,0,,,,,
z5ca2Y8QJ5I,5,1,Black Sabbath's Rollercoaster Ride (Starring Geezer Butler and Wendy Dio at the Golden Gods),132,460.0653,0,,False,True,False,False,0,,,,,
R9fVM4F60mc,5,1,Black Sabbath Ao Vivo em São Paulo (11.10.2013),1121,-528.9347,0,,False,True,False,False,0,,,,,
gBnVPbzGAt4,6,1,"BLACK SABBATH RESPONDS TO BILL WARD, WILL MOVE ON WITHOUT HIM",163,429.0653,0,,False,True,False,False,0,,,,,
dR0rqdt8nlQ,6,1,Black Sabbath - Paranoid - cover - full song + solo,167,425.0653,0,,False,True,False,False,0,,,,,
G__akPg65PI,7,1,Guns N' Roses   Estranged   Live in Jakarta 2018,545,47.0653,0,,False,True,False,False,0,,,,,
b2_C5UoZY6g,7,1,FGWM Guns N' Roses   Live Era 86   93,12745,-12152.9347,0,,False,True,False,False,0,,,,,
EteIEckrTQE,8,1,Guns N Roses - Estranged live in Abu Dhabi 25th November 2018,536,56.0653,0,,False,True,False,False,0,,,,,
xuwSikmvo8c,8,1,Guns N` Roses Estranged Live Era,537,55.0653,0,,False,True,False,False,0,,,,,
ipeleYE53ds,9,1,Guns n roses - Estranged Firenze 2018,542,50.0653,0,,False,True,False,False,0,,,,,
5HGJp5OGNSM,9,1,"BLACK SABBATH REUNION IN JEOPARDY, BILL WARD SAYS CONTRACT ""UNFAIR""",147,445.0653,0,,False,True,False,False,0,,,,,
oWt_19GCY2c,9,1,Guns N Roses-You Could Be Mine Live Era (87-93),335,257.0653,0,,False,True,False,False,0,,,,,
3SWclm0FeWY,10,1,Guns N Roses Estranged Lyrics,568,24.0653,0,,False,False,False,False,0,,,,,
