salami_id,salami_length,youtube_id,youtube_length,coverage,coverage_percent,onset_in_youtube,onset_in_salami
2,264.8,DKzFw_i6Ffg,265,261.4,0.9871601208459213,0.6,0.5
3,276.6628125,E6iGez4BLjQ,277,270.3,0.9770015621452559,0.3,0.5
4,236.09466666666665,ct8gCRPST9s,235,232.5,0.9847744689983114,0.4,0.5
5,256.9404166666667,IBdrzoz9o0o,258,248.1,0.9655935147091493,6.0,6.0
6,170.46666666666667,QurVLnYoFqo,174,163.5,0.9591317950723504,4.8,0.2
7,218.62515,50JtpsgyQF4,220,211.4,0.9669518808792127,1.9,1.9
8,227.7333333333333,HF03S-1mVR8,228,220.2,0.9669203747072601,0.6,0.6
10,314.23225,s08jD3E6Mpg,315,305.9,0.9734837846847354,0.3,0.3
11,222.0668125,bbC_8YrU3D4,222,216.6,0.9753821273946551,0.3,0.3
12,262.32166666666666,3noiG0gtlbU,263,252.7,0.9633211133913198,4.7,4.6
13,198.13879166666663,_8v8c5I2IS8,196,192.9,0.9735599898303611,2.0,1.6
14,248.26775,Q5u1ZbIaNps,256,225.5,0.908293566119643,7.4,6.8
16,301.1135,jLnZbUsiYTI,299,297.5,0.987999541701053,0.1,0.1
19,218.93225,ZVY7eGwKD4U,222,215.1,0.9824957264176474,0.2,0.2
21,383.2685833333333,06vPiv2tqoQ,381,371.1,0.9682505066616688,0.6,0.4
22,295.73225,fUKGNa3LSXA,296,288.7,0.9762208889967191,0.7,0.3
23,193.257075,KMwWP5nlxqA,194,188.8,0.9769370668577076,0.2,0.6
24,202.91920833333333,iNTRtSJlbiM,203,199.8,0.9846283239573386,0.7,0.7
26,314.56655,E6mFz-0n6J8,311,309.8,0.9848472445655776,0.2,0.4
27,278.53333333333336,pAc5PYiWJlA,279,274.1,0.9840832934418382,0.6,0.5
28,501.8644375,DYYjQGSIRhc,513,377.2,0.7515973872924598,0.1,2.8
30,155.1412,glN8XXfKJcs,156,149.8,0.9655720079514662,0.8,0.7
31,143.3861,vhvvvV9ZIt8,144,137.1,0.9561596277463436,0.3,0.3
32,197.4595625,WrGrnQALzao,206,166.9,0.8452363506072288,1.3,0.4
36,180.68900000000002,A_pwcKjfC5M,181,179.1,0.9912058841434729,0.7,0.7
37,383.0334375,74tbPpF5SAY,383,379.3,0.9902529723661528,0.7,0.4
38,137.58695,W1Z6GkN1UdA,138,135.9,0.9877390261213,0.5,0.3
39,196.44083333333333,3NWyF5ssD40,199,194.9,0.9921562472160829,0.3,0.3
40,142.579525,HXcokAJGlCw,147,139.7,0.9798040777594118,0.4,0.3
43,153.9657,fLjQ-sNlaho,154,148.3,0.9632015442400483,0.5,0.8
45,174.13225,24-O8eQFIXo,175,168.7,0.9688038832553992,0.9,0.3
46,139.023625,ccB7s_IKCGQ,141,102.5,0.7372847600542713,31.3,32.4
47,205.4530625,T2q8iyva2mw,211,188.0,0.9150508525517842,13.8,13.1
48,173.2963,C46DHQ5Tc_8,173,166.7,0.9619362906190149,0.4,0.3
50,189.9102,epOHBLBy0G0,190,180.2,0.9488695183302424,0.6,0.4
51,243.85305,zLAmxoX_P8U,0,231.0,0.9472918218574671,2.3,7.1
52,132.80655,Qpq5kw0evJE,133,127.0,0.9562781353781121,0.1,0.1
53,275.2,YmQbBNf6Mnc,274,258.6,0.9396802325581397,0.5,0.5
54,178.33795,zfR0IKFRvdw,176,172.2,0.9655824797806635,0.2,0.4
55,171.9118125,twhTfYKmdD0,173,125.5,0.7300254600014761,15.7,16.4
56,191.92166666666665,1N5kIwYJ2i4,192,182.8,0.9524719286514465,1.7,1.6
59,266.9975833333333,3GsynTrMJeg,254,251.6,0.9423306265880684,0.3,0.3
60,194.71675,fyhTk596A9c,194,177.1,0.9095262734202374,7.8,1.3
61,150.56983333333332,q-YRPujUuQI,412,143.7,0.9543744375533391,78.1,0.2
63,1085.1526666666666,Sgt5Us5kgpk,1085,379.7,0.3499046831505736,380.5,0.0
64,559.2032916666667,PjOLW_HXb8M,562,378.9,0.6775711188514552,4.2,1.5
66,40.359208333333335,chkgSsoEI_0,192,38.9,0.9638444758063267,0.4,0.2
67,60.107791666666664,0X4QqqJz2uI,181,56.2,0.9349869366630922,64.8,1.0
68,544.05225,-99j6DeuwUI,547,377.9,0.6946024026184985,5.9,2.2
69,188.395125,z2GpKXFFek4,188,187.7,0.9963102813833425,0.2,0.2
74,191.32083333333333,UHGRHybvDK0,345,183.9,0.9612126227758783,6.3,5.7
