youtube_id,top_rank,n_hits,title,duration,deviation,salami_coverage,decision,in_top_5,in_top_10,same_plus_5,same_less_5,overall_score,matching_length,onset_in_youtube,onset_in_salami,hashes,total_hashes
vhvvvV9ZIt8,5,5,Ramblin' On My Mind (Alternate Take),144,-0.6139,0,match,False,True,True,False,3,137.1,0.3,0.3,378.0,426.0
U8FEY3ls8yI,7,3,Ramblin' on My Mind (Alternate Take),144,-0.6139,0,,False,True,True,False,3,,,,,
bAuOF-kLBT0,9,3,Ramblin' on My Mind (Alternate Version),144,-0.6139,0,,False,True,True,False,3,,,,,
6_bBIgtS-W8,0,5,Ramblin' On my Mind (Alternate Take) by Robert Johnson,143,0.3861,0,,True,True,False,True,2,,,,,
tqCS87rHoZg,1,5,Rambling on My Mind (Alternate Take),142,1.3861,0,,True,True,False,True,2,,,,,
US8EEqpGu6s,2,5,Ramblin' on My Mind (Alternate Take),143,0.3861,0,,True,True,False,True,2,,,,,
9d35XXMQcSE,6,3,Ramblin' on My Mind (Alternate Take),143,0.3861,0,,False,True,False,True,2,,,,,
oyYqwdjGrsw,4,2,Ramblin' On My Mind (Take 2),141,2.3861,0,,True,True,False,True,2,,,,,
DyAbbBMTRmo,11,2,ROBERT JOHNSON - Ramblin' On My Mind (take 2) [1936],147,-3.6139,0,,False,False,True,False,2,,,,,
AUyKnEiv70Y,1,5,Rambling On My Mind [Remastered] ROBERT JOHNSON (1936) Delta Blues Guitar Legend,173,-29.6139,0,,True,True,False,False,1,,,,,
VOx7tWBYF5E,2,5,Robert Johnson-Ramblin' On My Mind (Take 1),173,-29.6139,0,,True,True,False,False,1,,,,,
WY1chGt05fE,3,5,Robert Johnson/Supernatural - Rambling on my mind,175,-31.6139,0,,True,True,False,False,1,,,,,
oKDef4KllN0,4,5,Rambling on my mind by Robert Johnson,174,-30.6139,0,,True,True,False,False,1,,,,,
eunqgkEoIL0,2,3,Robert Johnson - The Best Blues Masters (Fantastic Original Blues Music) [40 Greatest Blues Songs],6028,-5884.6139,0,,True,True,False,False,1,,,,,
dgpvkTzwjDY,3,3,Ramblin' on My Mind (Alternate Take),171,-27.6139,0,,True,True,False,False,1,,,,,
Vo_W6wYukJ4,4,3,Ramblin' On My Mind - Alternate,174,-30.6139,0,,True,True,False,False,1,,,,,
SXLmEuc7WNg,7,3,"Ramblin' on My Mind (Previously Unreleased, Alternate Take)",172,-28.6139,0,,False,True,False,False,1,,,,,
-nxKrsTSgQg,10,3,Ramblin' on My Mind (Alternate Take),142,1.3861,0,,False,False,False,True,1,,,,,
yWDvGzE-qRk,11,3,Ramblin' on My Mind (Alternate Take),143,0.3861,0,,False,False,False,True,1,,,,,
3fsxankzcN8,11,3,Ramblin' On My Mind (Alternate Take),143,0.3861,0,,False,False,False,True,1,,,,,
C6kp1yjpTO4,8,2,Ramblin' on My Mind,174,-30.6139,0,,False,True,False,False,1,,,,,
_BvwlxRwY5w,9,2,Eric Clapton Live From Madison Square Garden - Rambling on My Mind,294,-150.6139,0,,False,True,False,False,1,,,,,
jHCAz-xpmsQ,10,2,Ramblin' On My Mind - Version 2 - Alternate,141,2.3861,0,,False,False,False,True,1,,,,,
u5GcOURc-_Q,18,2,Ramblin' On My Mind (Alternate Take),142,1.3861,0,,False,False,False,True,1,,,,,
eOEVJKXaJoQ,6,1,Ramblin' on My Mind,156,-12.6139,0,,False,True,False,False,1,,,,,
OI_H8VZfvZ4,7,1,Ramblin' On My Mind (SA.2583-1),172,-28.6139,0,,False,True,False,False,1,,,,,
xMG7IURHfT0,12,1,Milkcow's Calf Blues [Remastered] ROBERT JOHNSON (1937) Delta Blues Guitar Legend,140,3.3861,0,,False,False,False,True,1,,,,,
EEKsfxE6AO0,13,1,Love In Vain - ROBERT JOHNSON [Remastered] (1937) Delta Blues Guitar Legend,142,1.3861,0,,False,False,False,True,1,,,,,
cOIt1EBzT10,14,1,Stop Breakin' Down Blues (Alternate Take),141,2.3861,0,,False,False,False,True,1,,,,,
DKRrT0LY_R4,10,2,Me and the Devil Blues (Take 1),153,-9.6139,0,,False,False,False,False,0,,,,,
6Ccaeda4GWM,13,2,Me and the Devil Blues (Alternate Take),152,-8.6139,0,,False,False,False,False,0,,,,,
JpqIr_Z1_dM,19,2,Robert Johnson - Cross Road Blues (alternate take #5),154,-10.6139,0,,False,False,False,False,0,,,,,
O9G28EPZJpk,10,1,Ramblin' on my mind-Johnny Butten & Newgrass Underground,184,-40.6139,0,,False,False,False,False,0,,,,,
Mjl2No9VhnI,11,1,Come on in My Kitchen (Alternate Take),158,-14.6139,0,,False,False,False,False,0,,,,,
e0CgiflKuQY,14,1,Ramblin' on My Mind,173,-29.6139,0,,False,False,False,False,0,,,,,
I8jKlc8x3f4,15,1,Kindhearted Woman Blues (Alternate Take),153,-9.6139,0,,False,False,False,False,0,,,,,
VNUm9vj65Jw,16,1,Traveling Riverside Blues (Alternate Take) ROBERT JOHNSON (1937) Delta Blues Guitar Legend,161,-17.6139,0,,False,False,False,False,0,,,,,
-qPA2tZ2gk8,17,1,Robert Johnson-Milkcow's Calf Blues (Take 1),138,5.3861,0,,False,False,False,False,0,,,,,
8akr3d0r-rA,18,1,Dirty Money - Ramblin' on my mind (part),110,33.3861,0,,False,False,False,False,0,,,,,
